"Priority","Query","Intent","Clicks","Impressions","CTR","Position","Opportunity score","Owner","Owner type","Owner share","Ownership","Meaningful pages","Secondary pages","Recommended action"
"41","hdfc scholarship 2026","entity lookup","454","17075","2.66","5.54","887","https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship","scholarship detail","99.7","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"42","airtel scholarship 2026","entity lookup","37","11678","0.32","7.00","807","https://www.indiascholarships.in/scholarships/bharti-airtel-scholarship-program","scholarship detail","43.6","Split / unclear","3","/scholarships/bharti-airtel-scholarship-program/apply-online (4257) | /scholarships/bharti-airtel-scholarship-program/documents-required (2215)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"43","tata capital pankh scholarship","entity lookup","1387","27945","4.96","3.94","804","https://www.indiascholarships.in/scholarships/tata-capital-pankh-scholarship","scholarship detail","99.9","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"44","bharti airtel scholarship program 2026 27","entity lookup","15","12043","0.12","8.34","790","https://www.indiascholarships.in/scholarships/bharti-airtel-scholarship-program/apply-online","scholarship subpage","65.4","Split / unclear","2","/scholarships/bharti-airtel-scholarship-program/documents-required (2735)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"45","mmvy scholarship","entity lookup","38","11410","0.33","6.98","788","https://www.indiascholarships.in/scholarships/mukhyamantri-medhavi-vidyarthi-yojana-mmvy","scholarship detail","99.8","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"46","e-kalyan","entity lookup","55","10558","0.52","3.60","734","https://www.indiascholarships.in/scholarships/jharkhand-e-kalyan-post-matric-scholarship","scholarship detail","90.3","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"47","faea scholarship","entity lookup","26","9891","0.26","5.97","728","https://www.indiascholarships.in/scholarships/faea-scholarship-for-undergraduate-studies","scholarship detail","91.3","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"48","mmvy portal","entity lookup","114","11256","1.01","3.52","728","https://www.indiascholarships.in/scholarships/mukhyamantri-medhavi-vidyarthi-yojana-mmvy","scholarship detail","99.9","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"49","ekalyan jharkhand","entity lookup","26","9118","0.29","3.79","661","https://www.indiascholarships.in/scholarships/jharkhand-e-kalyan-post-matric-scholarship","scholarship detail","93.2","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"50","tata scholarship","entity lookup","476","14118","3.37","4.83","648","https://www.indiascholarships.in/scholarships/tata-capital-pankh-scholarship","scholarship detail","99.8","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"51","sikshashree","entity lookup","35","8591","0.41","4.58","638","https://www.indiascholarships.in/scholarships/sikshashree-scholarship-scheme-west-bengal/apply-online","scholarship subpage","31.6","Split / unclear","3","/scholarships/sikshashree-scholarship-scheme-west-bengal (2446) | /scholarships/sikshashree-scholarship-scheme-west-bengal/selection-process (2398)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"52","talliki vandanam 2026 eligibility","details/eligibility","639","15914","4.02","5.79","609","https://www.indiascholarships.in/ta/scholarships/talliki-vandanam-scheme-ap/eligibility","other","41.2","Split / unclear","3","/scholarships/talliki-vandanam-scheme-ap/eligibility (5370) | /scholarships/talliki-vandanam-scheme-ap/apply-online (2386)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"53","ebc scholarship","entity lookup","28","9082","0.31","8.10","590","https://www.indiascholarships.in/scholarships-for/ebc","other","74.3","Split / unclear","2","/scholarships/maharashtra-ebc-postmatric (1382)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"54","post matric scholarship odisha last date","deadline/renewal","109","8762","1.24","5.31","583","https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-st-students-odisha","scholarship detail","29.3","Split / unclear","5","/scholarships/post-matric-scholarship-for-sc-students-odisha (2466) | /scholarships/post-matric-scholarship-for-obcsebc-students-odisha (2038) | /scholarships-in/odisha (999)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"55","chief minister scholarship","entity lookup","241","10266","2.35","5.28","572","https://www.indiascholarships.in/scholarships/nabanna-scholarship-west-bengal","scholarship detail","99.6","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"56","tata scholarship 2026","entity lookup","908","19060","4.76","3.31","565","https://www.indiascholarships.in/scholarships/tata-capital-pankh-scholarship","scholarship detail","99.9","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"57","lic golden jubilee scholarship","entity lookup","233","9722","2.40","5.33","536","https://www.indiascholarships.in/scholarships/lic-golden-jubilee-scholarship","scholarship detail","97.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"58","state scholarship odisha","entity lookup","113","8115","1.39","5.26","529","https://www.indiascholarships.in/scholarships-in/odisha","state hub","77.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"59","hdfc bank parivartan scholarship","documents/eligibility","97","8560","1.13","7.29","521","https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship","scholarship detail","97.8","Clear owner","1","","Strengthen the dedicated eligibility/documents subpage and use the detail page as the cluster hub."
"60","e kalyan scholarship","entity lookup","45","7263","0.62","4.19","514","https://www.indiascholarships.in/scholarships/jharkhand-e-kalyan-post-matric-scholarship","scholarship detail","92.5","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"61","pudhumai penn scheme","entity lookup","42","7903","0.53","7.79","508","https://www.indiascholarships.in/scholarships/pudhumai-penn-scheme-tamil-nadu","scholarship detail","94.3","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"62","scholarship for 12th students by government 2026","entity lookup","197","9735","2.02","7.68","504","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","79.4","Split / unclear","2","/government-scholarships (2166)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"63","faea scholarship 2026","entity lookup","26","6861","0.38","6.23","491","https://www.indiascholarships.in/scholarships/faea-scholarship-for-undergraduate-studies","scholarship detail","90.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"64","punjab scholarship","entity lookup","74","6759","1.09","4.82","463","https://www.indiascholarships.in/scholarships/punjab-post-matric-scholarship-for-scbc-students","scholarship detail","65.1","Split / unclear","2","/scholarships-in/punjab/apply-online (1073)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"65","sr jindal scholarship","entity lookup","123","7433","1.65","5.53","459","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","100.0","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"66","ongc scholarship 2026","entity lookup","38","7712","0.49","9.20","457","https://www.indiascholarships.in/scholarships/ongc-scholarship-csr","scholarship detail","94.4","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"67","state scholarship portal odisha","entity lookup","89","7301","1.22","6.71","453","https://www.indiascholarships.in/scholarships-in/odisha","state hub","94.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"68","nirman shramik kalyan yojana scholarship","entity lookup","57","6676","0.85","6.72","436","https://www.indiascholarships.in/scholarships/boc-scholarship-nirman-shramik-kalyan-yojana-odisha","scholarship detail","90.9","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"69","faea","entity lookup","23","5855","0.39","6.08","421","https://www.indiascholarships.in/scholarships/faea-scholarship-for-undergraduate-studies","scholarship detail","96.0","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"70","medhavi scholarship mp 2026 last date","deadline/renewal","173","7830","2.21","3.51","420","https://www.indiascholarships.in/scholarships/mukhyamantri-medhavi-vidyarthi-yojana-mmvy","scholarship detail","99.8","Clear owner","1","","Strengthen the dedicated last-date or renewal subpage, with verified current-cycle dates and a clear link from the detail page."
"71","scholarship last date 2026","deadline/renewal","53","6603","0.80","7.38","419","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","62.2","Split / unclear","1","","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"72","post matric scholarship odisha status check","status/troubleshooting","221","8011","2.76","4.79","415","https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-obcsebc-students-odisha","scholarship detail","56.8","Split / unclear","2","/scholarships/post-matric-scholarship-for-st-students-odisha (1292)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"73","nabanna","entity lookup","14","6706","0.21","9.30","410","https://www.indiascholarships.in/scholarships/nabanna-scholarship-west-bengal","scholarship detail","97.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"74","scholarship 2026","entity lookup","426","10647","4.00","4.23","409","https://www.indiascholarships.in/scholarships","other","72.7","Split / unclear","2","/scholarships/pm-yashasvi-scholarship (3138)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"75","talliki vandanam release date 2026","deadline/renewal","26","6982","0.37","9.85","403","https://www.indiascholarships.in/scholarships/talliki-vandanam-scheme-ap/last-date","scholarship subpage","66.2","Split / unclear","2","/scholarships/talliki-vandanam-scheme-ap/apply-online (2224)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"76","scholarship","entity lookup","90","6226","1.45","6.20","384","https://www.indiascholarships.in/scholarships","other","51.7","Split / unclear","2","/scholarships/hdfc-bank-parivartan-ecss-scholarship (905)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"77","talliki vandanam","entity lookup","1295","21082","6.14","5.75","377","https://www.indiascholarships.in/scholarships/talliki-vandanam-scheme-ap/apply-online","scholarship subpage","29.9","Split / unclear","5","/scholarships/talliki-vandanam-scheme-ap/selection-process (3847) | /or/scholarships/talliki-vandanam-scheme-ap/selection-process (2786) | /hi/scholarships/talliki-vandanam-scheme-ap/income-limit (2282)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"78","hdfc parivartan scholarship 2026","entity lookup","86","6068","1.42","6.21","375","https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship","scholarship detail","99.9","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"79","kanyashree","entity lookup","19","5908","0.32","8.46","375","https://www.indiascholarships.in/scholarships/kanyashree-prakalpa-scheme-west-bengal/apply-online","scholarship subpage","43.9","Split / unclear","3","/scholarships/kanyashree-prakalpa-scheme-west-bengal/selection-process (2451) | /scholarships/kanyashree-prakalpa-scheme-west-bengal/last-date (594)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"80","e grantz scholarship","entity lookup","37","5642","0.66","6.91","375","https://www.indiascholarships.in/scholarships/e-grantz-kerala-scstoecobc-support","scholarship detail","81.2","Split / unclear","2","/scholarships/e-grantz-kerala-scstoecobc-support/apply-online (942)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"81","odisha scholarship portal","entity lookup","29","5092","0.57","6.29","354","https://www.indiascholarships.in/scholarships-in/odisha","state hub","66.5","Split / unclear","2","/scholarships/post-matric-scholarship-for-sc-students-odisha/apply-online (1160)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"82","digital gujarat scholarship 2026","entity lookup","27","5211","0.52","6.90","353","https://www.indiascholarships.in/scholarships/digital-gujarat-post-matric-scholarship-for-sc-students","scholarship detail","53.4","Split / unclear","2","/scholarships/gujarat-post-matric-scholarship-for-obc (1520)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"83","sitaram jindal foundation","entity lookup","68","5366","1.27","5.59","351","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","100.0","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"84","reliance foundation scholarship","entity lookup","89","5621","1.58","5.65","349","https://www.indiascholarships.in/scholarships/reliance-foundation-undergraduate-scholarship","scholarship detail","90.7","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"85","hdfc scholarship 2026 last date","deadline/renewal","72","5704","1.26","6.86","349","https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship","scholarship detail","99.9","Clear owner","1","","Strengthen the dedicated last-date or renewal subpage, with verified current-cycle dates and a clear link from the detail page."
"86","ishan uday scholarship 2026","entity lookup","13","5567","0.23","8.97","346","https://www.indiascholarships.in/scholarships/ishan-uday-special-scholarship-for-north-eastern-region","scholarship detail","54.2","Split / unclear","2","/scholarships/ishan-uday-special-scholarship-for-north-eastern-region/apply-online (1533)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"87","lic scholarship","entity lookup","121","6129","1.97","6.34","345","https://www.indiascholarships.in/scholarships/lic-golden-jubilee-scholarship","scholarship detail","96.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"88","mptaas scholarship","entity lookup","17","4864","0.35","6.51","344","https://www.indiascholarships.in/scholarships/mp-mptaas-post-matric-scholarship-for-obc-students","scholarship detail","96.8","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"89","ssp post matric scholarship 2026","entity lookup","14","4647","0.30","5.92","341","https://www.indiascholarships.in/scholarships/legacy-ssp-post-matric-scholarship-state-scholarship-portal/apply-online","scholarship subpage","99.9","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"90","obc scholarship","entity lookup","58","5653","1.03","8.31","329","https://www.indiascholarships.in/scholarships-for/obc","other","91.0","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"91","graduation scholarship","entity lookup","50","5372","0.93","7.97","323","https://www.indiascholarships.in/scholarships/mukhyamantri-kanya-utthan-yojana-graduation","scholarship detail","98.9","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"92","yes","entity lookup","65","5070","1.28","3.86","321","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","6.6","Split / unclear","6","/scholarships/reliance-foundation-undergraduate-scholarship (187) | /scholarships/hdfc-bank-parivartan-ecss-scholarship (116) | /scholarships/bitsat-scholarship (81)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"93","obc scholarship 2026","entity lookup","393","9001","4.37","4.58","320","https://www.indiascholarships.in/scholarships-for/obc","other","98.4","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"94","india foundation scholarship 2026","entity lookup","88","5179","1.70","5.62","316","https://indiascholarships.in/","other","46.5","Split / unclear","3","/private-scholarships (1531) | / (1339)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
