No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
294,"scholarship for students",14800,"₹73.27",47,32
295,"scholarship test for class 10",1900,"₹32.36",34,32
296,"fulbright nehru scholarship",1900,"₹106.08",20,32
297,"lpu scholarship",2400,"₹80.91",2,32
298,"bihar graduation scholarship 50000 status check",6600,"₹0.00",1,32
299,"dr br ambedkar scholarship portal",1900,"₹0.00",1,32
300,"lic scholarship 2024 apply online",2900,"₹0.00",1,32
301,"nsp scholarship apply online",6600,"₹67.43",1,32
302,"otr up scholarship",5400,"₹19.78",1,32
303,"post matric scholarship sc st",3600,"₹21.58",1,32
304,"scholarship prize money",6600,"₹0.00",1,32
305,"scholarship registration up",3600,"₹17.98",1,32
306,"scholarship up last date 2025",320,"₹0.00",1,32
307,"svmcm scholarship status check",14800,"₹0.00",1,32
308,"up scholarship last date 2025",3600,"₹18.88",1,32
309,"scholarship exam for class 10",1900,"₹61.13",60,31
310,"scholarship apply link",30,"₹35.51",57,31
311,"scholarship degree",880,"₹89.00",42,31
312,"scholarships for students",18100,"₹37.31",40,31
313,"scholarship test for class 9",1000,"₹39.56",34,31
314,"scholarship for engineering students",3600,"₹89.00",17,31
315,"gks scholarship 2025",6600,"₹82.71",15,31
316,"scholarship 10th pass 2025",3600,"₹47.65",2,31
317,"scholarship paper",1000,"₹35.96",2,31
318,"chief minister scholarship",5400,"₹51.24",1,31
319,"haryana sc bc scholarship online status check",6600,"₹0.00",1,31
320,"hr chatravriti scholarship",6600,"₹71.92",1,31
321,"labour welfare scholarship",3600,"₹126.76",1,31
322,"lic scholarship 2024",5400,"₹0.00",1,31
323,"lic scholarship 2024 last date",1900,"₹0.00",1,31
324,"north south foundation scholarship",6600,"₹47.65",1,31
325,"scholarship helpline number up",1900,"₹0.00",1,31
326,"scholarship nmms",40500,"₹49.89",1,31
327,"scholarship spelling",1000,"₹0.00",1,31
328,"scholarship up government",8100,"₹272.40",1,31
329,"svmcm scholarship status check 2025",2400,"₹0.00",1,31
330,"swami vivekananda scholarship status check",8100,"₹145.64",1,31
331,"ts scholarship",4400,"₹57.54",1,31
332,"up scholarship 2025",74000,"₹57.54",1,31
333,"www scholarship odisha gov in",4400,"₹19.78",1,31
334,"aicte scholarship",5400,"₹52.14",5,30
335,"scholarships for students in karnataka 2025",480,"₹50.34",5,30
336,"sc st obc scholarship 2025",22200,"₹28.77",2,30
337,"pfms scholarship status 2025",8100,"₹0.00",1,30
338,"scholarship documents required",590,"₹21.58",1,30
339,"scholarship exam questions and answers pdf",480,"₹133.05",1,30
340,"scholarship ka matlab",590,"₹0.00",1,30
341,"scholarship kab tak aayega 2025",2900,"₹0.00",1,30
342,"scholarship renewal documents",260,"₹0.00",1,30
343,"scholarship up gov in 2025",320,"₹48.55",1,30
344,"swami vivekananda scholarship 2024 last date",3600,"₹0.00",1,30
345,"up scholarship com",5400,"₹66.53",1,30
346,"scholarship diploma students",720,"₹88.10",16,29
347,"scholarship for 12th passed students by government",4400,"₹44.05",6,29
348,"life good scholarship",2400,"₹27.87",5,29
349,"scholarship exam date 2025",2400,"₹32.36",4,29
350,"scholarship exam date 2025",2400,"₹23.37",2,29
351,"ba scholarship 2025",3600,"₹105.18",1,29
352,"central sector scholarship scheme",6600,"₹74.62",1,29
353,"mahadbt scholarship last date",6600,"₹35.96",1,29
354,"obc scholarship 2025",2400,"₹123.16",1,29
355,"scholarship hindi meaning",3600,"₹0.00",1,29
356,"scholarship kya hai",320,"₹0.00",1,29
357,"scholarship portal rajasthan",8100,"₹80.01",1,29
358,"scholarship question paper",390,"₹0.00",1,29
359,"up scholarship fresh login",3600,"₹0.00",1,29
360,"up scholarship login renewal",2900,"₹0.00",1,29
361,"scholarship in germany for indian students",1600,"₹108.33",74,28
362,"sbi scholarship",6600,"₹89.00",2,28
363,"scholarship 10th pass 2025",3600,"₹47.65",2,28
364,"har chatravriti scholarship 2024",5400,"₹0.00",1,28
365,"nsp scholarship last date 2025",3600,"₹0.00",1,28
366,"scholarship in hindi",2900,"₹0.00",1,28
367,"scholarship question paper 2024",260,"₹0.00",1,28
368,"ssp post matric scholarship 2025",2900,"₹0.00",1,28
369,"up scholarship official website",2900,"₹0.00",1,28
370,"vahani scholarship",2900,"₹19.78",1,28
371,"www up scholarship gov in",2400,"₹8.99",1,28
372,"scholarship 9th class",90,"₹32.81",45,27
373,"scholarship for btech students",3600,"₹71.92",35,27
374,"scholarship quiz",50,"₹15.28",28,27
375,"mhrd scholarship",1900,"₹84.51",4,27
376,"icai scholarship",1900,"₹46.75",1,27
377,"nsp scholarship payment status",3600,"₹0.00",1,27
378,"pfms bank balance check scholarship",8100,"₹0.00",1,27
379,"scholarship jacket",320,"₹0.00",1,27
380,"scholarship mp",720,"₹50.34",1,27
381,"scholarship odisha",27100,"₹69.67",1,27
382,"scholarship status check",49500,"₹0.00",1,27
383,"scholarship wbsed gov in",2900,"₹50.34",1,27
384,"ssp post matric scholarship 2025 26",9900,"₹0.00",1,27
385,"ssp post matric scholarship status",5400,"₹0.00",1,27
386,"svmcm scholarship disbursement",1900,"₹0.00",1,27
387,"telangana scholarship status",8100,"₹0.00",1,27
388,"up scholarship status 2024 25",3600,"₹26.07",1,27
389,"scholarship link 2025",70,"₹30.12",43,26
390,"scholarship 2026",170,"₹39.56",25,26
391,"scholarship owl",140,"₹41.80",24,26
392,"scholarship reliance foundation",260,"₹23.37",4,26
393,"cfa scholarship",6600,"₹125.86",3,26
394,"auro scholarship",5400,"₹0.00",1,26
395,"harchhatravratti scholarship status",1900,"₹0.00",1,26
396,"how to check scholarship status ts",1900,"₹0.00",1,26
397,"ksb scholarship login",3600,"₹0.00",1,26
398,"labour card scholarship 2024",2400,"₹0.00",1,26
399,"mscepune.in scholarship result 2025 merit list",4400,"₹0.00",1,26
400,"post matric scholarship amount",3600,"₹0.00",1,26
401,"scholarship gujarat",12100,"₹43.15",1,26
402,"scholarship in hindi meaning",320,"₹0.00",1,26
403,"swami vivekananda scholarship 2025 last date",5400,"₹0.00",1,26
404,"pw scholarship",2400,"₹6.29",30,25
405,"scholarship manipal",10,"₹0.00",22,25
406,"scholarship application",5400,"₹20.68",19,25
407,"kc mahindra scholarship",1900,"₹53.04",9,25
408,"scholarship form",18100,"₹24.72",6,25
409,"bonafide scholarship",5400,"₹72.82",2,25
410,"chhattisgarh scholarship",1900,"₹31.47",1,25
411,"lic scholarship apply online 2024",3600,"₹134.85",1,25
412,"msce pune scholarship result 2025",1900,"₹0.00",1,25
413,"scholarship 2.0",22200,"₹98.44",1,25
414,"scholarship category in nsp",390,"₹0.00",1,25
415,"up scholarship registration",4400,"₹42.25",1,25
416,"online form scholarship",3600,"₹15.28",30,24
417,"scholarship btech",1900,"₹42.70",19,24
418,"scholarship 9th",70,"₹17.98",18,24
419,"scholarship for degree students in karnataka 2025",480,"₹84.51",10,24
420,"scholarship maharashtra",3600,"₹44.05",2,24
421,"atul maheshwari scholarship",9900,"₹113.27",1,24
422,"bihar scholarship 2025",4400,"₹68.32",1,24
423,"har chatravriti scholarship status",2400,"₹0.00",1,24
424,"msce pune scholarship result link",5400,"₹0.00",1,24
425,"odisha state scholarship portal 2024",1900,"₹0.00",1,24
426,"pfms up scholarship",4400,"₹15.28",1,24
427,"samaj kalyan scholarship maharashtra",4400,"₹0.00",1,24
428,"scholarship helpline number obc",320,"₹0.00",1,24
429,"scholarship jindal",18100,"₹34.16",1,24
430,"www mscepune in scholarship result 2025 5th class",4400,"₹0.00",1,24
431,"aakash scholarship test 2025",2900,"₹73.72",72,23
432,"scholarship 2025 karnataka",10,"₹26.52",33,23
433,"scholarship 365",90,"₹39.11",14,23
434,"scholarship of karnataka",1900,"₹55.74",13,23
435,"scholarship online",5400,"₹17.53",11,23
436,"bharti airtel scholarship",14800,"₹40.46",10,23
437,"bihar scholarship",8100,"₹40.01",9,23
438,"pm scholarship scheme",3600,"₹43.15",3,23
439,"reliance scholarship 2025",6600,"₹14.38",3,23
440,"jvd scholarship status",2900,"₹0.00",1,23
441,"labour card scholarship odisha",3600,"₹0.00",1,23
442,"mahabocw scholarship status check",5400,"₹0.00",1,23
443,"meaning of scholarship in hindi",3600,"₹0.00",1,23
444,"mysy scholarship login",2900,"₹0.00",1,23
445,"post matric scholarship bihar status check",3600,"₹0.00",1,23
446,"scholarship 5th standard",480,"₹0.00",1,23
447,"scholarship login",18100,"₹31.91",1,23
448,"scholarship job",50,"₹19.33",10,22
449,"cfa scholarship window",1900,"₹142.04",3,22
450,"nsp scholarship apply",1900,"₹44.05",2,22
451,"digital gujarat scholarship portal",3600,"₹0.00",1,22
452,"ffe scholarship",9900,"₹116.87",1,22
453,"inter scholarship 2025",6600,"₹79.11",1,22
454,"lic golden jubilee scholarship",8100,"₹47.65",1,22
455,"msce pune scholarship 2025",4400,"₹0.00",1,22
456,"mysy scholarship last date",3600,"₹0.00",1,22
457,"nagaland scholarship portal",2400,"₹0.00",1,22
458,"prize money scholarship 2025",12100,"₹115.07",1,22
459,"scholarship declaration form",1900,"₹0.00",1,22
460,"scholarship kab tak aayega 2025",3600,"₹0.00",1,22
461,"scholarship minority",14800,"₹65.18",1,22
462,"scholarship nsp",550000,"₹89.00",1,22
463,"scholarship portal karnataka",260,"₹0.00",1,22
464,"scholarship application for degree students",70,"₹87.65",50,21
465,"scholarship for engineering students in karnataka",590,"₹60.23",9,21
466,"scholarship karnataka",880,"₹93.50",4,21
467,"nsp scholarship 2025 apply online",6600,"₹46.75",2,21
468,"scholarship bihar 2025",1600,"₹79.11",2,21
469,"azim premji scholarship apply online 2025",9900,"₹99.79",1,21
470,"bihar post matric scholarship 2025",5400,"₹0.00",1,21
471,"jharkhand e kalyan scholarship",2400,"₹0.00",1,21
472,"lic scholarship",8100,"₹33.26",1,21
473,"pfms nic in scholarship",2400,"₹15.28",1,21
474,"pm scholarship bihar",4400,"₹78.21",1,21
475,"punjab scholarship login",3600,"₹0.00",1,21
476,"scholarship bihar",9900,"₹42.70",1,21
477,"scholarship in kannada",260,"₹0.00",1,21
478,"scholarship mahadbt",2900,"₹0.00",1,21
479,"scholarship meaning in urdu",590,"₹0.00",1,21
480,"scholarship question paper class 8",260,"₹0.00",1,21
481,"swami vivekananda scholarship 2025",2900,"₹41.35",1,21
482,"ts epass scholarship status",5400,"₹0.00",1,21
483,"pw scholarship test 2025",12100,"₹30.57",64,20
484,"scholarship online apply 2025",10,"₹21.58",48,20
485,"pw scholarship test",6600,"₹9.89",38,20
486,"www buddy4study com scholarship",2400,"₹71.92",28,20
487,"scholarship for mbbs students",1900,"₹109.68",20,20
488,"scholarship ug students",2900,"₹57.09",20,20
489,"scholarship exams after 12th",1000,"₹39.56",16,20
490,"yrp foundation scholarship",2400,"₹51.24",12,20
491,"scholarship 5000",50,"₹0.00",5,20
492,"scholarship zambia",10,"₹0.00",5,20
493,"scholarship 10th",2400,"₹21.13",4,20
494,"scholarship 10th",2900,"₹23.82",4,20
495,"scholarship 50",10,"₹0.00",4,20
496,"scholarship qualification",10,"₹0.00",4,20
497,"sbi scholarship 2025 apply online",3600,"₹48.55",3,20
498,"access scholarship cfa",5400,"₹174.41",2,20
499,"lic golden jubilee scholarship apply online",3600,"₹37.76",2,20
500,"pmsss scholarship",1900,"₹39.56",2,20
501,"scholarship gov in 2025 maharashtra",1900,"₹58.44",2,20
502,"atul maheshwari scholarship 2025",6600,"₹119.57",1,20
503,"bihar board scholarship 2025",2400,"₹10.79",1,20
504,"bits scholarship",2900,"₹45.85",1,20
505,"digital gujarat scholarship 2024",4400,"₹0.00",1,20
506,"digital gujarat scholarship 2025",3600,"₹42.25",1,20
507,"digital gujarat scholarship for obc students",1900,"₹23.37",1,20
508,"ebc scholarship",6600,"₹86.30",1,20
509,"eligibility for inspire scholarship",2400,"₹0.00",1,20
510,"epass scholarship telangana",9900,"₹0.00",1,20
511,"golden jubilee scholarship scheme",2400,"₹21.58",1,20
512,"hdfc bank scholarship 2025",5400,"₹113.27",1,20
513,"hdfc parivartan scholarship 2025",1900,"₹87.20",1,20
514,"hdfc scholarship 2025 last date",4400,"₹0.00",1,20
515,"klwb scholarship",2900,"₹0.00",1,20
516,"krishi vidya nidhi yojana scholarship amount",1900,"₹0.00",1,20
517,"lic golden jubilee scholarship 2024",4400,"₹823.49",1,20
518,"made easy scholarship test previous year question papers",8100,"₹0.00",1,20
519,"mp scholarship portal login",1900,"₹0.00",1,20
520,"post matric scholarship ssp",2400,"₹0.00",1,20
521,"rtf full form in scholarship",2400,"₹0.00",1,20
