No,Keyword,Search Volume,CPC,Paid Difficulty,Search Intent,Search Difficulty
195,sitaram jindal foundation scholarship,12100,₹54.34,2,commercial,10
196,scholarship of bihar,12100,₹61.96,1,"navigational, informational",23
197,ffe scholarship,12100,₹196.38,3,"navigational, commercial",31
198,cg scholarship portal login,12100,₹0,1,navigational,42
199,pragati scholarship,12100,₹39.09,2,,22
200,state scholarship portal last date,12100,₹0,1,,8
201,canada graduate scholarships,12100,₹11.44,1,"navigational, commercial",73
202,ssp scholarship last date,12100,₹0,1,,8
203,dr br ambedkar scholarship,12100,₹25.74,1,"commercial, navigational",18
204,scholarship to students,12100,₹182.08,48,"commercial, navigational",69
205,scholarship graduation,12100,₹358.44,2,informational,12
206,future bright scholarship,12100,₹75.31,1,"navigational, commercial",43
207,up scholarship ac in,12100,₹8.58,1,"commercial, navigational",61
208,up scholarship status check,12100,₹0,1,,8
209,government scholarship in,9900,₹56.24,3,navigational,76
210,ssp post matric scholarship 2023 24,9900,₹0,1,,7
211,made easy national scholarship test question paper,9900,₹0,1,"transactional, commercial",16
212,swami vivekananda scholarship 2025 last date,9900,₹0,1,informational,18
213,scholarship up gov in status,9900,₹0,1,,7
214,scholarship bihar,9900,₹45.28,1,,21
215,post matric scholarship status,9900,₹0,1,,7
216,commonwealth scholarship commission applications,9900,₹6.20,9,,10
217,azim premji foundation scholarship,9900,₹72.45,2,informational,32
218,mp scholarship 2,9900,₹68.64,1,informational,18
219,mp scholarship,9900,₹49.57,1,,20
220,bihar graduation scholarship 50000 status check,9900,₹273.60,1,commercial,33
221,graduate scholarship,9900,₹73.40,1,,21
222,ssp post matric scholarship 2025 26,9900,₹0,1,transactional,37
223,epass telangana scholarship,9900,₹50.53,1,"commercial, navigational, informational",22
224,aakash institute scholarship exam,9900,₹24.79,37,,19
225,erasmus mundus scholarships,9900,₹119.16,36,informational,35
226,ssp scholarship 2025 last date,9900,₹0,1,"commercial, informational",18
227,scholarship gpt,9900,₹21.93,9,"navigational, informational, commercial",26
228,akash scholarship test,9900,₹71.50,67,,36
229,maha dbt scholarship last date,9900,₹0,1,informational,33
230,up scholarship status check 25 26,9900,₹0,1,"navigational, informational",20
231,scholarship odisha gov in,9900,₹0,1,,7
232,panjabrao deshmukh scholarship,9900,₹73.40,1,commercial,14
233,scholarship west bengal,9900,₹42.90,1,,16
234,ssb scholarship last date,9900,₹0,1,"commercial, informational",28
235,pmss scholarship,9900,₹88.66,1,informational,22
236,bright futures scholarship login,9900,₹0,1,navigational,32
237,scholarship in gujarat,9900,₹117.26,1,"informational, navigational",20
238,sarkari result up scholarship,9900,₹0,1,"navigational, commercial",7
239,bonafide scholarship,9900,₹109.63,1,informational,22
240,reliance scholarship 2025,9900,₹61.96,1,"commercial, navigational",35
241,german academic exchange service daad scholarship,9900,₹57.67,48,,22
242,scholarship portal up,9900,₹0,1,navigational,37
243,dr b r ambedkar scholarship,9900,₹0,1,"commercial, navigational",18
244,aikyashree scholarship 2025,9900,₹0,1,informational,15
245,dbt scholarship,9900,₹0,1,,20
246,means scholarship,9900,₹0,1,informational,36
247,pms scholarship bihar,9900,₹0,1,"informational, navigational",19
248,hdfc bank parivartan scholarship,9900,₹27.65,1,"commercial, navigational",21
249,post matric scholarship haryana,9900,₹0,1,,7
250,scholarships in punjab,9900,₹31.94,1,,15
251,atul maheshwari scholarship 2025,9900,₹28.60,1,informational,16
252,vidyadhan scholarship 2025,9900,₹69.59,1,informational,25
253,graduation scholarship 2025,9900,₹163.97,1,informational,37
254,erasmus mundus scholarship,9900,₹46.71,40,,28
255,state scholarship odisha,9900,₹112.49,1,,15
256,scholarship up gov in registration,9900,₹0,1,,7
257,tata scholarship 2026,9900,₹87.70,24,"commercial, informational",15
258,chevening scholarship,9900,₹161.11,54,informational,71
259,scholarship up gov,8100,₹0,1,,15
260,tata group scholarship,8100,₹30.98,3,,16
261,atul maheshwari scholarship,8100,₹71.50,2,"informational, commercial",17
262,scholarship portal rajasthan,8100,₹0,1,"informational, navigational, commercial",23
263,hdfc bank scholarship 2025,8100,₹0,1,informational,25
264,svmcm scholarship 2025,8100,₹0,1,commercial,18
265,tata capital pankh scholarship,8100,₹43.85,1,,7
266,azim premji scholarship login,8100,₹152.53,1,navigational,35
267,margadeepam scholarship,8100,₹0,1,informational,14
268,scholarship form last date,8100,₹76.26,1,informational,27
269,scholarship of west bengal,8100,₹117.26,1,"commercial, informational, navigational",37
270,scholarship academy,8100,₹33.37,3,navigational,28
271,post matric scholarship bihar status check,8100,₹0,1,navigational,42
272,rhodes scholarship,8100,₹89.61,7,informational,65
273,sje scholarship,8100,₹110.58,1,informational,39
274,lic scholarship,8100,₹16.21,2,,21
275,up scholarship status 2026,8100,₹208.77,1,"commercial, informational",23
276,scholarship otr,8100,₹29.55,1,informational,44
277,scholarships punjab,8100,₹37.66,1,,21
278,otr up scholarship,8100,₹77.22,1,"commercial, navigational",24
279,tata scholarship 2025,8100,₹127.74,6,informational,15
280,aakash scholarship exam,8100,₹326.51,65,,35
281,state scholarship portal log in,8100,₹0,1,navigational,66
282,medhasoft 12th scholarship 2025,8100,₹0,1,commercial,23
283,8th scholarship question paper in marathi 2018,8100,₹0,1,"navigational, informational",16
284,up scholarship otr registration,8100,₹0,1,transactional,27
285,state portal scholarship,8100,₹52.43,1,navigational,35
286,aditya birla scholarship,8100,₹34.32,4,,17
287,sarkari result scholarship,8100,₹0,1,,15
288,u p scholarship renewal,8100,₹0,1,informational,38
289,hdfc scholarship 2025 last date,8100,₹0,1,informational,18
290,scholarship haryana,8100,₹45.76,5,,22
291,jindal foundation scholarship,8100,₹17.16,18,,21
292,nsp scholarship apply online,8100,₹67.68,5,"transactional, navigational",48
293,prize money scholarship 2025,8100,₹252.63,1,commercial,24
294,nabanna scholarship 2025,8100,₹0,1,informational,17
295,national scholarship portal nsp,8100,₹91.52,2,navigational,41
296,up scholarship portal,8100,₹0,1,,15
297,swami vivekananda scholarship status check,8100,₹0,1,navigational,23
298,10th pass scholarship 2025,6600,₹81.98,1,informational,16
299,scholarship up gov in status 2025,6600,₹0,1,informational,36
300,gks scholarship,6600,₹41.95,30,informational,17
301,ssp scholarship portal office,6600,₹0,3,,7
302,pm scholarship scheme,6600,₹64.82,4,informational,26
303,scholarship sarkari result,6600,₹58.15,1,informational,20
304,scholarship up gov in 2025,6600,₹34.32,1,"informational, navigational",38
305,8th scholarship question paper in marathi 2019,6600,₹0,1,"informational, navigational",4
306,motion scholarship test,6600,₹43.85,70,informational,26
307,rhodes of scholarship,6600,₹35.75,6,,16
308,chief minister scholarship,6600,₹125.84,1,informational,27
309,graduate scholarship 2025 bihar,6600,₹0,1,,6
310,scholarship 2025,6600,₹129.65,27,commercial,81
311,pfms bank balance check scholarship,6600,₹0,1,"navigational, informational",21
312,canara bank scholarships,6600,₹0,1,navigational,16
313,labour scholarship,6600,₹0,1,informational,26
314,50000 scholarship,6600,₹103.91,1,informational,36
315,bihar scholarship portal taja info,6600,₹0,1,commercial,18
316,connect to work scholarship application status,6600,₹0,1,transactional,20
317,australian scholarships group,6600,₹18.11,3,navigational,29
318,scholarship examination,6600,₹43.85,20,"commercial, navigational, informational",43
319,ssp post matric scholarship status,6600,₹0,1,"navigational, informational",37
320,mahabocw scholarship status check,6600,₹0,1,"navigational, informational",13
321,nsp portal scholarship,6600,₹50.53,1,navigational,22
322,prize money scholarship,6600,₹0,1,,14
323,pw scholarship test,6600,₹41.95,62,informational,20
324,albert einstein international scholarship test question paper,6600,₹0,1,commercial,16
325,ssp pre matric scholarship 2025 26,6600,₹0,1,commercial,38
326,bihar post matric scholarship 2025,6600,₹0,1,informational,25
327,scholarship result 2024,6600,₹0,1,,14
328,cg post matric scholarship 2025,6600,₹0,1,informational,17
329,e medhabruti scholarship,6600,₹67.21,1,informational,19
330,inter scholarship 2025,6600,₹219.26,1,informational,36
331,hr chatravriti scholarship,6600,₹0,1,informational,24
332,asha scholarship,6600,₹135.37,10,informational,17
333,central sector scheme scholarship,6600,₹47.67,4,,8
334,scholarship portal punjab,6600,₹62.92,1,navigational,16
335,msce pune in scholarship,6600,₹8.58,1,commercial,22
336,buddy4study scholarship 2025 26,6600,₹87.70,5,commercial,32
337,prem ji scholarship,6600,₹102.96,2,,15
338,scholarship up government,6600,₹19.07,1,navigational,76
339,byju's scholarship test question paper,6600,₹0,1,commercial,26
340,haryana chatravriti scholarship,6600,₹0,1,informational,28
341,golden jubilee scholarship,6600,₹122.98,2,informational,25
342,harchhatravratti scholarship,6600,₹0,1,informational,26
343,canara scholarship portal login,6600,₹0,1,navigational,20
344,vidyasaarathi scholarship 2025,6600,₹70.54,1,informational,31
345,scholarship status ts,6600,₹0,1,,14
346,scholarships bihar,6600,₹47.67,14,,24
347,scholarship status 2024,6600,₹0,1,,14
348,mptaas scholarship 2026,6600,₹134.42,1,informational,18
349,scholarship for cfa,6600,₹59.58,2,,15
350,other backward class scholarship,6600,₹60.06,1,"commercial, informational",30
351,swd scholarship,6600,₹0,1,informational,18
352,cfa scholarship,6600,₹125.84,7,informational,21
353,buddy for study scholarship,6600,₹113.44,8,"informational, navigational",32
354,sbi scholarships,6600,₹102,6,navigational,48
355,digital gujarat scholarship 2025,6600,₹0,1,informational,17
356,samaj kalyan scholarship,5400,₹107.72,1,informational,34
357,iti scholarship,5400,₹42.90,2,informational,19
358,scholarship by government,5400,₹71.50,7,navigational,81
359,up scholarship online,5400,₹0,1,,14
360,lic golden jubilee scholarship 2025 application form,5400,₹0,1,transactional,37
361,ishan uday scholarship 2025,5400,₹0,1,informational,17
362,azim premji scholarship last date,5400,₹0,1,informational,33
363,scholarship maharashtra,5400,₹71.50,1,"navigational, commercial",42
364,azim premji scholarship 2025 eligibility criteria,5400,₹159.20,1,"commercial, informational",32
365,parivartan ecss scholarship,5400,₹70.54,6,"navigational, informational",17
366,scholarship checking,5400,₹43.85,2,"navigational, commercial",81
367,allen scholarship test 2025 26 date,5400,₹163.97,57,,24
368,dce scholarship,5400,₹75.79,1,,19
369,government scholarships,5400,₹118.21,10,navigational,71
370,up scholarship 2026,5400,₹73.40,1,"commercial, informational",18
371,maha dbt post matric scholarship,5400,₹0,1,"commercial, transactional",20
372,pm yasasvi scholarship 2025,5400,₹122.02,2,informational,15
373,scholarship otr registration,5400,₹224.98,1,transactional,48
374,access scholarship cfa,5400,₹155.39,3,informational,16
375,scholarship chief minister,5400,₹122.02,1,"informational, navigational",35
376,parivartan scholarship,5400,₹110.58,6,"navigational, commercial",18
377,ssp scholarship 2024 25 last date,5400,₹0,1,"commercial, informational",29
378,mext scholarship 2026,5400,₹55.29,15,informational,43
379,bihar post matric scholarship 2024 25,5400,₹0,1,informational,28
380,scholarship taja info,5400,₹0,1,commercial,13
381,reliance scholarship login,5400,₹58.15,1,navigational,35
382,rajarshi shahu maharaj scholarship,5400,₹0,1,informational,8
383,haryana sc bc scholarship online status check,5400,₹0,1,navigational,26
384,mbocww scholarship,5400,₹0,1,informational,11
385,azim premji scholarship apply online,5400,₹180.17,2,navigational,36
386,ssp scholarship 2026,5400,₹0,1,commercial,29
387,50 000 scholarship,5400,₹78.17,1,,15
388,scholarship ts,5400,₹81.98,1,"navigational, commercial",32
389,hdfc parivartan scholarship 2025,5400,₹48.62,1,"commercial, transactional",12
390,fulbright scholarship,5400,₹115.35,16,informational,68
391,malabar scholarship,5400,₹84.84,2,informational,11
392,aditya birla group scholarship,5400,₹31.94,2,,7
393,nsp scholarship 2024 25,5400,₹20.97,1,,6
394,golden jubilee scholarship scheme 2025,5400,₹114.40,2,commercial,28
395,prime minister's scholarship scheme,5400,₹59.10,3,commercial,39
396,swami vivekananda scholarship 2025,5400,₹0,1,informational,29
397,tata pankh scholarship,5400,₹106.77,11,informational,16
398,scholarship for 12th passed students by government,5400,₹75.31,12,informational,37
399,reliance foundation scholarship log in,5400,₹0,1,"navigational, commercial",35
400,albert einstein international scholarship test question papers,5400,₹0,1,commercial,14
401,nmmss scholarship,5400,₹113.44,2,informational,35
402,nsp scholarship eligibility,5400,₹55.29,1,informational,37
403,scholarship last date 2026,5400,₹73.40,3,"informational, commercial",61
404,msce pune scholarship,5400,₹66.73,1,"navigational, informational, commercial",13
405,aicte scholarship,5400,₹109.63,8,informational,30
406,ssp scholarship post matric,5400,₹0,1,"navigational, informational",37
407,renew scholarship,5400,₹104.86,1,navigational,68
408,helix scholarship test sample papers,5400,₹0,1,commercial,9
409,www mscepune in scholarship result 2025 8th class,5400,₹0,1,navigational,31
410,digital gujarat scholarship last date,5400,₹0,1,"informational, navigational",19
411,scholarship obc,5400,₹47.67,2,,20
412,swami vivekananda scholarship last date,5400,₹0,1,informational,21
413,up board scholarship,5400,₹46.71,1,informational,18
414,mahindra empower her scholarship,5400,₹34.80,14,,11
415,licindia.in scholarship 2024,5400,₹0,1,"informational, navigational",35
416,cgschool scholarship,5400,₹0,1,informational,28
417,ebc scholarship,5400,₹177.31,1,informational,18
418,mahadbt login scholarship,5400,₹0,1,navigational,37
419,pm scholarship scheme 2025,4400,₹105.82,2,commercial,26
420,mscepune in scholarship result 2025 merit list,4400,₹0,1,"navigational, informational",31
421,scholarships maharashtra,4400,₹28.60,1,,20
422,meaning of scholarship,4400,₹61.01,2,informational,62
423,sbi asha scholarship 2025 apply online,4400,₹54.34,2,"transactional, navigational",16
424,www mscepune in scholarship result 2026,4400,₹0,1,"commercial, informational",22
425,scholarship for higher education,4400,₹305.06,7,"navigational, commercial",62
426,renewal scholarship,4400,₹134.42,1,navigational,74
427,megha scholarship,4400,₹236.42,1,navigational,21
428,scholarship form up,4400,₹20.97,1,informational,46
429,up scholarship status 23 24,4400,₹0,1,informational,46
430,otr registration scholarship,4400,₹81.03,4,transactional,29
431,scholarship online,4400,₹46.24,20,,26
432,post matric scholarship to sc,4400,₹0,1,informational,30
433,www mscepune in scholarship result 2025 5th class,4400,₹0,1,navigational,26
434,snatak scholarship,4400,₹0,1,informational,32
435,sirish scholarship,4400,₹0,1,informational,14
436,ssp scholarship portal,4400,₹0,1,,14
437,mysy scholarship last date,4400,₹0,1,informational,22
438,aikyashree scholarship 2025 last date,4400,₹0,1,informational,16
439,up scholarship 2025 last date,4400,₹0,1,"commercial, informational",40
440,scholarship tamil meaning,4400,₹0,1,informational,20
441,national portal scholarship last date,4400,₹0,1,"navigational, informational, commercial",6
442,upsc scholarship form,4400,₹21.93,1,,14
443,ssp karnataka gov in scholarship 2025,4400,₹0,1,"informational, navigational",22
444,students scholarship,4400,₹216.40,37,"navigational, commercial",67
445,bihar graduation scholarship,4400,₹0,1,commercial,37
446,state scholarship status check,4400,₹0,1,informational,26
447,mp task scholarship 2025,4400,₹0,1,"commercial, transactional, informational",17
448,scholarship for sc,4400,₹95.33,2,informational,37
449,nsp scholarship last date 2025,4400,₹0,1,"informational, commercial",50
450,online scholarship up,4400,₹0,1,navigational,38
451,azim premji scholarship status check,4400,₹69.59,1,"navigational, informational",18
452,pm yashasvi scholarship 2025,4400,₹55.77,1,informational,35
453,st sc scholarship,4400,₹63.87,1,informational,51
454,sbi foundation scholarship,4400,₹72.45,4,informational,16
455,sbi asha scholarship 2025 last date,4400,₹0,1,informational,16
456,nsp scholarship payment approved list 2025,4400,₹0,1,"informational, commercial",24
457,scholarship check,4400,₹62.92,5,informational,45
458,scholarship apps,4400,₹91.52,36,navigational,83
459,scholarship up board,4400,₹32.89,1,,14
460,ssp post matric scholarship 2025,4400,₹0,1,"transactional, commercial",22
461,up scholarship com,4400,₹36.23,1,navigational,35
462,b a scholarship 2025,4400,₹203.05,1,"commercial, informational",22
463,ayakashi scholarship,4400,₹0,1,"commercial, informational, navigational",32
464,post matric scholarship status check,4400,₹0,1,"informational, navigational",45
465,north south foundation scholarship,4400,₹102,1,"informational, navigational",17
466,ts scholarship,4400,₹81.98,1,"navigational, commercial",25
467,mmvy scholarship,4400,₹64.82,1,informational,14
468,digital gujarat scholarship portal,4400,₹0,1,navigational,18
469,cg scholarship portal login 2025 26,4400,₹0,1,"navigational, informational, commercial",43
470,br ambedkar scholarship,4400,₹0,1,,14
471,post matric scholarship login,4400,₹0,1,navigational,51
472,gyan sadhana scholarship,4400,₹229.75,1,informational,10
473,lic hfl vidyadhan scholarship 2025,4400,₹60.06,2,informational,17
474,post matric scholarship 2025 last date,4400,₹0,1,informational,15
475,bihar graduation scholarship 50000 online apply,4400,₹234.51,1,transactional,29
476,scholarship for degree students,4400,₹138.23,47,informational,57
477,scholarship 10th pass 2025,4400,₹47.67,7,informational,13
478,snehapoorvam scholarship,4400,₹0,1,informational,14
479,post matric scholarship portal,4400,₹21.93,1,navigational,52
480,lpu jai jawan scholarship,4400,₹80.08,7,"commercial, informational",21
481,azim premji scholarship 2025 last date,4400,₹0,1,"informational, commercial",36
482,definition of scholarship,4400,₹71.50,6,,16
